,Country,n,Deaths,Longitude,Latitude
129,Montserrat,4,1,-62.187366000000004,16.742498
130,Morocco,281,15,-7.09262,31.791702
131,Mozambique,19,0,35.529562,-18.665695
132,Myanmar,21,2,95.956223,21.913965
133,Namibia,4,0,18.49041,-22.957639999999998
134,Nepal,83,0,84.12400799999999,28.394857000000002
135,Netherlands,1335,234,5.291266,52.132633
136,New_Caledonia,5,0,165.618042,-20.904304999999997
137,New_Zealand,95,4,174.88597099999998,-40.900557
138,Nicaragua,9,3,-85.207229,12.865416
139,Niger,69,5,8.081666,17.607789
140,Nigeria,386,17,8.675277000000001,9.081999
141,North_Macedonia,107,6,21.745275,41.608635
142,Northern_Mariana_Islands,4,1,145.38468999999998,17.33083
143,Norway,425,13,8.468946,60.472024
144,Oman,298,2,55.923255000000005,21.512583
145,Pakistan,2255,40,69.345116,30.375321000000003
146,Palestine,153,2,35.233154,31.952162
147,Panama,370,10,-80.782127,8.537981
148,Papua_New_Guinea,5,0,143.95555,-6.314993
149,Paraguay,126,2,-58.44383199999999,-23.442503
150,Peru,4247,112,-75.015152,-9.189967
151,Philippines,666,50,121.77401699999999,12.879721
152,Poland,595,40,19.145135999999997,51.919438
153,Portugal,1516,60,-8.224454,39.399871999999995
154,Puerto_Rico,182,9,-66.590149,18.220833
155,Qatar,1526,2,51.183884,25.354826
156,Romania,523,42,24.96676,45.943160999999996
157,Russia,11656,107,105.31875600000001,61.52401
158,Rwanda,22,0,29.873888,-1.940278
159,Saint_Kitts_and_Nevis,5,0,-62.782998,17.357822
160,Saint_Lucia,5,0,-60.97889300000001,13.909444
161,Saint_Vincent_and_the_Grenadines,5,0,-61.287228000000006,12.984305
162,San_Marino,36,6,12.457777,43.94236
163,Sao_Tome_and_Principe,156,2,6.613081,0.18636
164,Saudi_Arabia,1966,10,45.079162,23.885942
165,Senegal,177,3,-14.452361999999999,14.497401000000002
166,Serbia,445,10,21.005859,44.016521000000004
167,Seychelles,2,0,55.491977,-4.679574
168,Sierra_Leone,49,3,-11.779889,8.460555000000001
169,Singapore,1515,2,103.819836,1.352083
170,Slovakia,114,4,19.699023999999998,48.669026
171,Slovenia,59,6,14.995463,46.151241
172,Somalia,81,6,46.199616,5.152149
173,South_Africa,724,17,22.937506,-30.559482
174,South_Korea,909,9,127.766922,35.907757000000004
175,Spain,9181,950,-3.7492199999999998,40.463667
176,Sri_Lanka,65,1,80.77179699999999,7.873054
177,Sudan,199,10,30.217636,12.862807
178,Suriname,4,1,-56.02778299999999,3.9193050000000005
179,Sweden,812,185,18.643501,60.128161
180,Switzerland,1390,78,8.227511999999999,46.818188
181,Syria,6,1,38.996815000000005,34.802075
182,Taiwan,31,3,120.96051499999999,23.69781
183,Tajikistan,154,8,71.276093,38.861034000000004
184,Thailand,263,4,100.992541,15.870032
185,Timor_Leste,12,0,125.727539,-8.874217
186,Togo,21,2,0.824782,8.619543
187,Trinidad_and_Tobago,40,2,-61.222503,10.691803
188,Tunisia,61,5,9.537499,33.886917
189,Turkey,5138,127,35.243322,38.963745
190,Turks_and_Caicos_islands,3,1,-71.797928,21.694025
191,Uganda,16,0,32.290275,1.373333
192,Ukraine,789,29,31.16558,48.379433
193,United_Arab_Emirates,783,13,53.847818000000004,23.424076
194,United_Kingdom,8719,1172,-3.435973,55.378051
195,United_Republic_of_Tanzania,174,6,34.888822,-6.369028
196,United_States_of_America,48529,4928,-95.712891,37.09024
197,United_States_Virgin_Islands,17,1,-64.896335,18.335765
198,Uruguay,36,2,-55.765834999999996,-32.522779
199,Uzbekistan,172,1,64.585262,41.377491
200,Venezuela,48,2,-66.58973,6.42375
201,Vietnam,26,0,108.277199,14.058323999999999
202,Western_Sahara,6,0,-12.885834,24.215526999999998
203,Yemen,17,2,48.516388,15.552726999999999
204,Zambia,174,3,27.849332,-13.133897
205,Zimbabwe,6,1,29.154857,-19.015438
