,country,code,n,n1,Latitude,Longitude
109,Latvia,LVA,951,19,56.879635,24.603189
110,Lebanon,LBN,878,26,33.854721000000005,35.862285
111,Liberia,LBR,213,20,6.4280550000000005,-9.429499
112,Libya,LBY,64,3,26.3351,17.228331
113,Liechtenstein,LIE,83,1,47.166000000000004,9.555373
114,Lithuania,LTU,1505,54,55.169438,23.881275
115,Luxembourg,LUX,3904,103,49.815273,6.129583
116,Madagascar,MDG,212,0,-18.766947000000002,46.869107
117,Malawi,MWI,63,3,-13.254307999999998,34.301525
118,Malaysia,MYS,6779,111,4.210483999999999,101.97576600000001
119,Maldives,MDV,955,4,3.202778,73.22068
120,Mali,MLI,758,44,17.570692,-3.9961660000000006
121,Malta,MLT,508,6,35.937496,14.375416
122,Mauritania,MRT,9,2,21.00789,-10.940835
123,Mauritius,MUS,332,10,-20.348404000000002,57.552152
124,Mexico,MEX,40186,4220,23.634501,-102.552784
125,Moldova,MDA,5406,199,47.411631,28.369884999999996
126,Monaco,MCO,96,4,43.750298,7.412841
127,Mongolia,MNG,61,0,46.862496,103.84665600000001
128,Montenegro,MNE,324,9,42.708678000000006,19.37439
129,Montserrat,MSR,11,1,16.742498,-62.187366000000004
130,Morocco,MAR,6512,188,31.791702,-7.09262
131,Mozambique,MOZ,107,0,-18.665695,35.529562
132,Myanmar,MMR,181,6,21.913965,95.956223
133,Namibia,NAM,16,0,-22.957639999999998,18.49041
134,Nepal,NPL,219,0,28.394857000000002,84.12400799999999
135,Netherlands,NLD,43211,5562,52.132633,5.291266
136,New_Caledonia,NCL,18,0,-20.904304999999997,165.618042
137,New_Zealand,NZL,1147,21,-40.900557,174.88597099999998
138,Nicaragua,NIC,25,8,12.865416,-85.207229
139,Niger,NER,860,49,17.607789,8.081666
140,Nigeria,NGA,4971,164,9.081999,8.675277000000001
141,North_Macedonia,MKD,1694,95,41.608635,21.745275
142,Northern_Mariana_Islands,MNP,19,2,17.33083,145.38468999999998
143,Norway,NOR,8158,229,60.472024,8.468946
144,Oman,OMN,4019,17,21.512583,55.923255000000005
145,Pakistan,PAK,35788,770,30.375321000000003,69.345116
146,Palestine,PSE,548,4,31.952162,35.233154
147,Panama,PAN,8944,256,8.537981,-80.782127
148,Papua_New_Guinea,PNG,8,0,-6.314993,143.95555
149,Paraguay,PRY,740,11,-23.442503,-58.44383199999999
150,Peru,PER,76306,2169,-9.189967,-75.015152
151,Philippines,PHL,11618,772,12.879721,121.77401699999999
152,Poland,POL,17204,861,51.919438,19.145135999999997
153,Portugal,PRT,28132,1175,39.399871999999995,-8.224454
154,Puerto_Rico,PRI,2329,115,18.220833,-66.590149
155,Qatar,QAT,26539,14,25.354826,51.183884
156,Romania,ROU,16002,1016,45.943160999999996,24.96676
157,Russia,RUS,242271,2212,61.52401,105.31875600000001
158,Rwanda,RWA,287,0,-1.940278,29.873888
159,Saint_Kitts_and_Nevis,KNA,15,0,17.357822,-62.782998
160,Saint_Lucia,LCA,18,0,13.909444,-60.97889300000001
161,Saint_Vincent_and_the_Grenadines,VCT,17,0,12.984305,-61.287228000000006
162,San_Marino,SMR,643,41,43.94236,12.457777
163,Sao_Tome_and_Principe,STP,235,7,0.18636,6.613081
164,Saudi_Arabia,SAU,44830,273,23.885942,45.079162
165,Senegal,SEN,2105,22,14.497401000000002,-14.452361999999999
166,Serbia,SRB,10295,222,44.016521000000004,21.005859
167,Seychelles,SYC,11,0,-4.679574,55.491977
168,Sierra_Leone,SLE,387,21,8.460555000000001,-11.779889
169,Singapore,SGP,25346,21,1.352083,103.819836
170,Slovakia,SVK,1469,27,48.669026,19.699023999999998
171,Slovenia,SVN,1463,103,46.151241,14.995463
172,Somalia,SOM,1219,52,5.152149,46.199616
173,South_Africa,ZAF,12074,219,-30.559482,22.937506
174,South_Korea,KOR,10991,260,35.907757000000004,127.766922
175,Spain,ESP,228691,27104,40.463667,-3.7492199999999998
176,Sri_Lanka,LKA,915,9,7.873054,80.77179699999999
177,Sudan,SDN,1818,90,12.862807,30.217636
178,Suriname,SUR,10,1,3.9193050000000005,-56.02778299999999
179,Sweden,SWE,27909,3460,60.128161,18.643501
180,Switzerland,CHE,30330,1563,46.818188,8.227511999999999
181,Syria,SYR,48,3,34.802075,38.996815000000005
182,Taiwan,TWN,440,7,23.69781,120.96051499999999
183,Tajikistan,TJK,801,23,38.861034000000004,71.276093
184,Thailand,THA,3017,56,15.870032,100.992541
185,Timor_Leste,TLS,24,0,-8.874217,125.727539
186,Togo,TGO,219,11,8.619543,0.824782
187,Trinidad_and_Tobago,TTO,116,8,10.691803,-61.222503
